访谈记录id,调研人id,县id,访谈对象id,受访人姓名,受访人信息,访谈内容,访谈时间,访谈地点,访谈质量
ITV2023011,DY20210011,140927,OBJ14092701,王师傅,47岁，神池县小杂粮加工厂负责人,"加工业务： 王师傅的加工厂主要加工小米、藜麦等小杂粮，为周边200多户农户提供服务。设备状况： ""加工设备老旧，效率低，能耗高。想更新设备但资金不足，贷款门槛太高。""原料供应： ""农户种植分散，标准化程度低，影响加工品质。需要建立统一的种植标准。""市场开拓： ""产品主要在当地销售，想进入大城市超市，但认证手续复杂，费用高。""政策建议： 希望政府对农产品加工设备更新给予专项补贴，简化有机认证程序。",2023-12-18,神池县杂粮加工厂,3.0
ITV2023012,DY20210015,411722,OBJ41172201,刘建军,51岁，上蔡县养殖合作社理事长,"合作社规模： 合作社现有社员45户，存栏生猪5000头，蛋鸡2万只。疫病防控： ""非洲猪瘟后，防疫压力很大。合作社建立了严格的防疫制度，但成本增加很多。""环保要求： ""养殖场环保改造投入大，每个场都要建污水处理设施，资金压力很大。""市场波动： ""猪周期影响太大，价格高时大家都扩产，导致供过于求。需要建立预警机制。""政策支持： ""养殖保险理赔程序复杂，赔付标准低。希望简化流程，提高赔付比例。""",2024-01-10,上蔡县养殖合作社,4.0
ITV2023013,DY20210018,152634,OBJ15263401,乌兰,38岁，正镶白旗蒙古族手工艺人,"手工艺传承： 乌兰擅长制作蒙古族传统服饰和银饰，作品在区内有一定知名度。创作困境： ""传统工艺耗时长，成本高，市场价格竞争不过机器制品。年轻人不愿学，传承面临困难。""创新尝试： ""尝试将传统元素融入现代饰品，很受年轻人喜欢。但缺乏设计人才和市场推广能力。""销售渠道： 主要通过旅游季节在景区销售，季节性明显。""想开网店，但包装物流成本高。""政策期望： 希望建立手工艺人孵化基地，提供设计、营销等全方位支持。",2024-01-25,正镶白旗手工艺工作室,5.0
ITV2023014,DY20210022,430923,OBJ43092301,陈老师,49岁，安化县乡村教师，从教28年,"教育状况： 陈老师在安化县山区小学任教，学校现有学生86人，教师8人。教学条件： ""学校硬件改善了很多，但缺乏音体美专业教师。多媒体设备有了，但网络不稳定。""学生情况： ""留守儿童比例高，家庭教育缺失。学生基础差，学习动力不足。""教师待遇： ""乡村教师补贴提高了，但与其他行业相比收入还是偏低。年轻教师留不住。""改进建议： 希望加强家校合作，为留守儿童提供心理辅导，提高教师培训质量。",2024-02-15,安化县某乡村小学,4.0
ITV2023015,DY20210027,140429,OBJ14042901,李技术员,35岁，武乡县农业技术推广员,"技术推广： 李技术员负责5个村的农业技术指导，主要推广玉米密植、病虫害防治等技术。工作困难： ""农户接受新技术慢，示范效果需要时间验证。推广经费不足，很多工作难以开展。""知识更新： ""农业技术更新快，但培训机会少，知识老化。希望有更多学习交流机会。""服务对象： ""现在种地的大多是中老年人，文化程度低，技术接受能力有限。""政策建议： 建议建立村级技术服务站，配备必要设备和经费，提高服务效能。",2024-03-08,武乡县农技站,5.0
ITV2023016,DY20210029,632723,OBJ63272301,才让,43岁，称多县藏族生态管护员,"工作职责： 才让是三江源国家公园生态管护员，负责巡护草原、监测野生动物、清理垃圾等。生态变化： ""实施生态保护后，草原退化得到遏制，野生动物数量明显增加。但鼠害还是严重。""收入情况： ""每月管护员工资1800元，加上牧业收入，生活比以前好了。但物价高，开支大。""生活改善： ""政府帮我们建了新房，通了电和网络，孩子上学有补助，医疗有保障。""发展期望： 想发展生态旅游，增加收入，但缺乏经验和管理能力。",2024-03-22,称多县草原巡护路上,4.0
ITV2023017,DY20210004,610829,OBJ61082901,王阿姨,58岁，吴堡县红枣种植户,"红枣产业： 王阿姨家有红枣林30亩，是家庭主要收入来源。""吴堡红枣品质好，但近几年价格不稳定。""种植困难： ""红枣裂果严重，遇到连阴雨损失很大。缺乏有效的防治技术。""销售问题： ""红枣集中上市，收购商压价严重。想发展电商，但不懂操作。""加工需求： ""鲜枣不易储存，想建个小加工厂做枣夹核桃，但缺乏资金和技术。""政策建议： 希望政府建立红枣价格保护机制，提供深加工技术支持。",2024-04-05,吴堡县红枣园,3.0
ITV2023018,DY20210007,532932,OBJ53293201,杨经理,41岁，鹤庆县银器加工企业经理,"企业发展： 公司主要生产民族银器，产品销往全国各地，年销售额500多万元。人才问题： ""熟练工匠难找，年轻人不愿学这门手艺。工人工资成本逐年上涨。""创新压力： ""需要不断开发新产品，但设计人才缺乏，创新投入大。""市场拓展： ""想开拓国际市场，但认证标准复杂，出口手续繁琐。""政策支持： ""获得过文化产业扶持资金，但申请程序复杂，资金到位慢。""",2024-04-18,鹤庆县银器加工厂,5.0
ITV2023019,DY20210010,513333,OBJ51333301,卓玛,29岁，红原县藏族导游,"旅游服务： 卓玛从事导游工作5年，主要带团游览红原大草原和藏族文化景点。行业现状： ""旅游受季节影响大，旺季忙不过来，淡季没有收入。需要开发四季旅游产品。""服务质量： ""游客要求越来越高，需要不断学习提升。但培训机会少，专业知识更新慢。""基础设施： ""景区厕所、停车场等设施不足，影响游客体验。网络覆盖不全，直播带货困难。""发展建议： 希望政府加强旅游基础设施建设，组织专业培训，开发特色旅游商品。",2024-05-06,红原县游客中心,4.0
ITV2023020,DY20210013,410526,OBJ41052602,赵医生,46岁，滑县乡镇卫生院医生,"医疗服务： 赵医生在乡镇卫生院工作20年，负责常见病诊疗和公共卫生服务。医疗条件： ""卫生院设备更新了，但缺乏专业技术人员。很多检查做不了，患者要往县医院跑。""患者情况： ""慢性病患者多，健康管理任务重。村民健康意识提高，但不良生活习惯还是普遍。""医保政策： ""新农合报销比例提高了，但目录内药品有限，很多好药不能报销。""改进建议： 希望加强村医培训，建立县乡医共体，实现资源共享。",2024-05-20,滑县某乡镇卫生院,5.0
ITV2023021,DY20210017,632524,OBJ63252401,多杰,33岁，兴海县藏族电商创业者,"创业项目： 多杰创办电商平台销售藏族特色产品，包括牦牛肉干、藏毯、藏药等。运营挑战： ""物流成本高，到偏远地区运费比商品还贵。包装要求高，增加成本。""产品质量： ""农产品标准化难，同一批产品品质差异大，影响客户评价。""人才缺乏： ""懂藏语又懂电商的人才难找，自己既要管运营又要做客服，精力有限。""政策需求： 希望建立民族地区电商孵化园，提供物流补贴和人才培训。",2024-06-08,兴海县电商办公室,4.0
ITV2023022,DY20210021,621022,OBJ62102201,马书记,44岁，环县某村党支部书记,"村庄发展： 马书记所在村原是深度贫困村，通过发展肉羊养殖实现整村脱贫。产业现状： ""村里建起了养殖小区，户均养羊30只。但饲料成本高，利润空间小。""基础设施： ""村道硬化了，但产业路还是砂石路，影响运输。网络信号不稳定。""人才问题： ""年轻人都外出打工，村干部老龄化严重，后备力量不足。""振兴规划： 计划发展乡村旅游，利用黄土高原风貌吸引游客，但缺乏专业规划。",2024-06-25,环县某村委会,5.0
ITV2023023,DY20210024,230623,OBJ23062301,刘大姐,50岁，林甸县水稻种植户,"水稻种植： 刘大姐家种植水稻150亩，采用稻田养蟹模式，实现一水两用。生态种植： ""稻田蟹吃害虫，粪便肥田，减少化肥农药使用。蟹稻米价格比普通米高30%。""技术需求： ""蟹苗成活率不稳定，养殖技术还需要提高。希望有专家定期指导。""品牌建设： ""我们的蟹稻米品质很好，但品牌知名度不高，好产品卖不出好价钱。""销售渠道： 主要通过订单农业销售，想开拓高端市场，但缺乏营销能力。",2024-07-12,林甸县稻田边,4.0
ITV2023024,DY20210028,632625,OBJ63262501,仁青,37岁，久治县藏族唐卡画师,"艺术创作： 仁青是青海省省级唐卡非遗传承人，作品多次在国内外展览中获奖。传承困境： ""唐卡学习周期长，收入不稳定，年轻人耐不住寂寞。传统技艺面临失传风险。""创新发展： ""尝试创作小幅唐卡，适合现代家居装饰，很受欢迎。但传统派有异议。""市场推广： ""唐卡艺术价值高，但市场认知度低。想通过短视频推广，但内容创作能力有限。""政策支持： 希望建立唐卡传承基地，提供创作空间和展示平台，组织国内外交流。",2024-08-05,久治县唐卡画室,5.0
ITV2023025,DY20210006,411327,OBJ41132701,周老板,48岁，社旗县农产品经销商,"经销业务： 周老板从事农产品经销20年，主要经营香菇、木耳等食用菌，年销售额300多万元。采购环节： ""农户种植分散，产品质量参差不齐，收购时要花费大量时间分级筛选。""销售网络： ""建立了稳定的客户网络，但电商冲击传统渠道，需要转型线上销售。""资金压力： ""收购季节需要大量流动资金，贷款利息高，融资困难。""发展计划： 想建设标准化加工厂，提升产品附加值，但土地审批和环评手续复杂。",2024-08-20,社旗县农产品交易市场,4.0
